"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
362,2,1,372.09601354599,11,5558.91152003285,5603.08131754369,0.0258795866368615,0.0249126636791133,0.255399734596435,-0.22839766847822,,,,,,0.965203736591892,,,,,,,-0.00118881927359186,0.00118508835643817,0.00070413470151468,-0.00104163900275686,"Success",""
363,2,3,180.066073179245,15,5785.35177365392,5839.33708172273,0.0892497121473764,0.0253862737711975,0.171920467052655,0.0695185416108526,,,,,,-0.271803370719631,0.184365158142469,0.819841150934807,,,,,-0.00552079724096131,0.0055343924466169,0.00200929012265024,-0.00323216034148469,"Success",""
364,2,2,481.669917345047,12,5636.23067774983,5685.30823053965,0.0241357180612805,0.0273967134564886,0.167803158273842,-0.18165633918172,,,,,,0.681581986089671,0.325615086094871,,,,,,-0.00135468031484291,0.00135443783401084,0.000354752842885147,-0.000688745651304014,"Success",""
365,5,7,411.391153812408,30,5663.71582543035,5752.05542045203,0.0609248499344211,0.0153276481074369,0.184311748686818,0.13483149609567,-0.0462192894017427,-0.0576766557625561,0.0306892253731219,,,0.00183832385990267,0.457551625852737,-0.00587604819844973,-0.455122008413668,0.285722279439555,0.74371885432875,-0.290992452150945,-0.0081784028436457,0.0081611402718272,0.00442370542999599,-0.00390818591440043,"Success",""
366,4,3,277.932936191559,19,5381.22547554408,5445.02629417085,0.0361025477703932,0.0235884320664346,0.249216138832584,0.0945205781823358,-0.124747794434054,-0.16540119040306,,,,-0.29080018116082,0.264291910732193,0.96179167128992,,,,,-0.00625893028978364,0.00632924767239927,0.00326631364316973,-0.00466309556972257,"Success",""
367,1,6,276.883074045181,23,5509.96714508906,5573.76796371582,0.126217022934035,0.0155715974749868,0.233273991290728,,,,,,,0.503155413120729,-0.244347443639294,0.254795904184101,-0.493883523111611,0.45933879327398,0.247153754820791,,-0.0053400388562891,0.0053963458390134,0.000616159015612778,-0.0037482751461598,"Success",""
368,1,5,469.838217258453,21,5539.51588426672,5598.4089476145,0.0704757381161605,0.0289122893166152,0.226017385609993,,,,,,,0.574062663824388,-0.372740648581893,0.480413488669022,-0.664763500994511,0.73742042318196,,,-0.00356660462424951,0.00348546662350259,0.00192169102324724,-0.00169167151766787,"Success",""
369,1,3,141.990547895432,13,5614.05920133107,5663.13675412089,0.123212315887417,0.0175642629978881,0.122297448579523,,,,,,,-0.0895551753079917,0.186045274680218,0.744928192148726,,,,,-0.00501997860974948,0.0049549192205806,0.00191712216923097,-0.00168287982905915,"Success",""
370,4,2,213.632282495499,17,5640.81983004289,5699.71289339068,0.0409873251080259,0.0370608289598511,0.218090146201726,0.00795320927756112,-0.123677827870112,0.0649777491308958,,,,-0.0940231544510164,0.914732520467128,,,,,,-0.00409226147204461,0.0041469387935727,0.00152060901364743,-0.00351173354914116,"Success",""
371,2,1,166.500906944275,14,5793.54182259773,5837.71162010857,0.00916804547613417,0.0222244488151381,0.186001475261817,-0.135112051056864,,,,,,0.946560590622915,,,,,,,-0.00211587151889812,0.00214916333900169,0.00101388945959181,-0.00176042936769922,"Success",""
