"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
836,1,3,56.9608914852142,14,5575.78385731537,5624.86141010519,0.0571559885373518,0.0240943631458248,0.151310056721716,,,,,,,-0.0416117717559925,0.181782562856983,0.692966645324952,,,,,-0.00133989197926239,0.00134879556388506,0.0019613187964789,-0.0050837098839785,"Success",""
837,1,6,129.423233032227,24,5452.47451597693,5516.2753346037,0.0656196531169374,0.0220949178371375,0.244821575917396,,,,,,,0.42853357055955,-0.192727792084047,0.311939474939543,-0.562520530791564,0.560467711218635,0.190194890108078,,-0.00515173453829412,0.00515235806057829,0.0027556345535918,-0.00433559205497117,"Success",""
838,2,3,62.178790807724,16,5517.64376781159,5571.6290758804,0.0483245223032662,0.0233336451245228,0.149896183671091,0.126402992744402,,,,,,-0.305214852305718,0.0967633315709053,0.916525520205068,,,,,-0.00125347939000487,0.00120714322921626,-0.000461080989476666,1e-04,"Success",""
839,3,1,49.4822115898132,14,5616.62980051479,5665.70735330461,0.0347589062489529,0.0373306749177557,0.250139251150083,-0.156698474488272,-0.0584909460700404,,,,,0.954315171167156,,,,,,,-0.0012569782644645,0.00121718159098981,0.000477606771101973,0.000226355629865675,"Success",""
840,1,5,98.3630096912384,21,5482.98731535365,5541.88037870144,0.058265717125141,0.0173572915076304,0.172109151978825,,,,,,,0.644503617248881,-0.326768867772473,0.392616838008798,-0.663215372376022,0.764749109920003,,,-0.00322479330244108,0.0031801972275187,0.00103721678113442,-0.00133607036796335,"Success",""
841,2,1,47.6619253158569,11,5593.91837980953,5638.08817732037,0.00563662433530273,0.0258074695316483,0.230985028497464,-0.196600361927292,,,,,,0.963868211004559,,,,,,,-0.000800175837973949,0.000797068788002668,0.000192858051324112,-1e-04,"Success",""
842,2,3,72.9523234367371,15,5467.79086519843,5521.77617326724,0.0823440009028827,0.0145406942492819,0.082115156299755,0.125742529693673,,,,,,-0.542240498150332,0.461765396396954,0.850105606066545,,,,,-0.00684997026900277,0.00697271059335804,0.00249223612734455,-0.00791013780155855,"Success",""
843,3,1,88.7985000610352,16,5628.92629457391,5678.00384736373,0.024218924839937,0.0297117172745305,0.16216454111408,-0.133079204460336,-0.0257535204174826,,,,,0.989679538008419,,,,,,,-0.00238107562421149,0.00241971090480183,0.000796838372038076,-0.00185593414566197,"Success",""
844,1,1,34.6822431087494,9,5675.65913314026,5714.92117537212,0.0194198865478309,0.0394482887723203,0.0867210093274766,,,,,,,0.908060410936546,,,,,,,-0.00163691244682201,0.001635113435924,0.000668962847895121,-0.00105817897246446,"Success",""
845,2,6,108.776906728745,25,5445.12427967415,5513.8328535799,0.145870482917692,0.0216619123470951,0.196802667691763,0.0993065288534035,,,,,,-0.230593923257807,0.330370120150448,0.00387143130597618,-0.301760751507988,0.0907259065432307,0.763480781845339,,-0.00594283386867394,0.00592889511301568,0.00560188768895289,-0.0083914316126205,"Success",""
